sample_method,sample_size,sample_no,percent_male,protected_frequency,log_geom_diversity,4_entropy
uniform,40,33,10,0.85,-32.877734599227374,1.094056456831614
uniform,40,34,10,0.925,-34.24020316659669,0.8990737637631184
uniform,40,35,10,0.875,-35.12227235372797,1.0454670557247812
uniform,40,36,10,0.925,-33.600279096572585,0.9468123263852294
uniform,40,37,10,0.9,-33.96345809990262,0.9958213213455275
uniform,40,38,10,0.925,-33.91997511606669,0.9072077263064946
uniform,40,39,10,0.925,-33.81813278683799,0.9386299203255365
uniform,40,40,10,0.95,-30.96566186452926,0.8517321440572501
uniform,40,41,10,0.875,-32.78027299458602,1.0584412112455066
uniform,40,42,10,0.95,-32.951601360411146,0.8434735223963112
uniform,40,43,10,0.95,-32.1483770259446,0.8570050648778205
uniform,40,44,10,0.95,-33.934722751371226,0.8863895030852473
uniform,40,45,10,0.925,-35.29831734371782,0.9276428555613374
uniform,40,46,10,0.95,-31.84179553598947,0.8583770905398284
uniform,40,47,10,0.975,-33.62823268345773,0.7924048022328815
uniform,40,48,10,0.95,-33.27510725353212,0.8863895030852473
uniform,40,49,10,0.925,-30.68687685684193,0.9549462889286056
uniform,40,50,10,0.925,-34.007775923715165,0.9468123263852295
uniform,40,51,10,0.875,-33.954521846443136,1.0497818282656932
uniform,40,52,10,0.875,-33.6329480011653,1.0641821694358589
uniform,40,53,10,0.925,-33.15640323196752,0.9549462889286056
uniform,40,54,10,0.95,-30.758382273877924,0.8903460262836665
uniform,40,55,10,0.95,-32.555454932834145,0.8556886672556693
uniform,40,56,10,0.925,-35.228475000630034,0.9045017244629406
uniform,40,57,10,0.85,-33.04396102416022,1.0836098379941532
uniform,40,58,10,0.925,-32.582850775861075,0.8990737637631184
uniform,40,59,10,0.95,-30.79856344684779,0.8451132568429527
uniform,40,60,10,0.925,-33.81372560210061,0.8990737637631183
uniform,40,61,10,0.95,-34.61739707396468,0.8451132568429527
uniform,40,62,10,0.925,-32.89779301289489,0.9045017244629406
uniform,40,63,10,0.85,-31.394323402183325,1.077996935110487
uniform,40,64,10,0.9,-31.84581091094411,0.9541792393186606
uniform,40,65,10,0.9,-34.346697814021994,0.9925904272457021
uniform,40,66,10,0.925,-33.31193764075148,0.9522402870850517
uniform,40,67,10,0.825,-31.40337533307265,1.0518345279222596
uniform,40,68,10,0.925,-31.750240096625337,0.9468123263852295
uniform,40,69,10,0.875,-33.220935351162105,1.0641821694358589
uniform,40,70,10,0.95,-30.78030660908049,0.8903460262836665
uniform,40,71,10,1.0,-32.064469157666345,0.6918966592050799
uniform,40,72,10,0.925,-32.86053594872604,0.8492141469848024
uniform,40,73,10,0.85,-33.54904090108647,1.1058898790247633
uniform,40,74,10,0.875,-33.191314013703455,1.064182169435859
uniform,40,75,10,0.925,-32.46060330551899,0.9072077263064946
uniform,40,76,10,0.85,-35.67599906595692,1.07946837261189
uniform,40,77,10,0.9,-32.27043479075347,0.9827401177514139
uniform,40,78,10,0.975,-34.51359217837042,0.789837883255865
uniform,40,79,10,0.925,-34.2912708141859,0.9072077263064946
uniform,40,80,10,0.9,-32.17786382358146,0.9541792393186606
uniform,40,81,10,0.975,-32.51065171197558,0.7187175746246139
uniform,40,82,10,0.875,-33.02925003778319,1.0584412112455066
uniform,40,83,10,0.925,-35.8949349117758,0.9276428555613374
uniform,40,84,10,0.925,-30.581255141540698,0.9549462889286056
uniform,40,85,10,0.8,-31.341969914181455,1.1856692967723448
uniform,40,86,10,0.925,-30.61936120360284,0.9549462889286056
uniform,40,87,10,0.925,-32.61322500389768,0.9522402870850516
uniform,40,88,10,0.925,-33.5939242877615,0.9137812557021723
